"id","region","year","type","demand_annual","demand_timeseries","bandwidth_type","version","method","source","comment"
1,"DE",2021,"helper_sink_exo_air_europ_pkm","tra_scalars.exo_air_europ_pkm","tra_timeseries.exo_air_europ_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
2,"DE",2021,"helper_sink_exo_water_tkm","tra_scalars.exo_water_tkm","tra_timeseries.exo_water_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
3,"DE",2021,"helper_sink_exo_road_truck_tkm","tra_scalars.exo_road_truck_tkm","tra_timeseries.exo_road_truck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
4,"DE",2021,"helper_sink_exo_road_mtruck_tkm","tra_scalars.exo_road_mtruck_tkm","tra_timeseries.exo_road_mtruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
5,"DE",2021,"helper_sink_exo_road_motorc_pkm","tra_scalars.exo_road_motorc_pkm","tra_timeseries.exo_road_motorc_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
6,"DE",2021,"helper_sink_exo_road_mcar_pkm","tra_scalars.exo_road_mcar_pkm","tra_timeseries.exo_road_mcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
7,"DE",2021,"helper_sink_exo_road_ltruck_tkm","tra_scalars.exo_road_ltruck_tkm","tra_timeseries.exo_road_ltruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
8,"DE",2021,"helper_sink_exo_road_htruck_tkm","tra_scalars.exo_road_htruck_tkm","tra_timeseries.exo_road_htruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
9,"DE",2021,"helper_sink_exo_road_hcar_pkm","tra_scalars.exo_road_hcar_pkm","tra_timeseries.exo_road_hcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
10,"DE",2021,"helper_sink_exo_road_const_diesel","tra_scalars.exo_road_const_diesel","tra_timeseries.exo_road_const_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
11,"DE",2021,"helper_sink_exo_road_car_pkm","tra_scalars.exo_road_car_pkm","tra_timeseries.exo_road_car_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
12,"DE",2021,"helper_sink_exo_road_bus_short_pkm","tra_scalars.exo_road_bus_short_pkm","tra_timeseries.exo_road_bus_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
13,"DE",2021,"helper_sink_exo_road_lcar_pkm","tra_scalars.exo_road_lcar_pkm","tra_timeseries.exo_road_lcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
14,"DE",2021,"helper_sink_exo_road_bus_long_pkm","tra_scalars.exo_road_bus_long_pkm","tra_timeseries.exo_road_bus_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
15,"DE",2021,"helper_sink_exo_road_bus_pkm","tra_scalars.exo_road_bus_pkm","tra_timeseries.exo_road_bus_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
16,"DE",2021,"helper_sink_exo_air_natio_pkm","tra_scalars.exo_air_natio_pkm","tra_timeseries.exo_air_natio_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
17,"DE",2021,"helper_sink_exo_air_pkm","tra_scalars.exo_air_pkm","tra_timeseries.exo_air_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
18,"DE",2021,"helper_sink_exo_rail_long_pkm","tra_scalars.exo_rail_long_pkm","tra_timeseries.exo_rail_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
19,"DE",2021,"helper_sink_exo_rail_long_tkm","tra_scalars.exo_rail_long_tkm","tra_timeseries.exo_rail_long_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
20,"DE",2021,"helper_sink_exo_air_inter_pkm","tra_scalars.exo_air_inter_pkm","tra_timeseries.exo_air_inter_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
21,"DE",2021,"helper_sink_exo_rail_short_pkm","tra_scalars.exo_rail_short_pkm","tra_timeseries.exo_rail_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
22,"DE",2021,"helper_sink_exo_rail_short_tkm","tra_scalars.exo_rail_short_tkm","tra_timeseries.exo_rail_short_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
23,"DE",2021,"helper_sink_exo_rail_tkm","tra_scalars.exo_rail_tkm","tra_timeseries.exo_rail_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
24,"DE",2021,"helper_sink_exo_road_agri_diesel","tra_scalars.exo_road_agri_diesel","tra_timeseries.exo_road_agri_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
25,"DE",2021,"helper_sink_exo_rail_pkm","tra_scalars.exo_rail_pkm","tra_timeseries.exo_rail_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
26,"DE",2024,"helper_sink_exo_road_car_pkm","tra_scalars.exo_road_car_pkm","tra_timeseries.exo_road_car_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
27,"DE",2024,"helper_sink_exo_road_const_diesel","tra_scalars.exo_road_const_diesel","tra_timeseries.exo_road_const_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
28,"DE",2024,"helper_sink_exo_road_hcar_pkm","tra_scalars.exo_road_hcar_pkm","tra_timeseries.exo_road_hcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
29,"DE",2024,"helper_sink_exo_road_htruck_tkm","tra_scalars.exo_road_htruck_tkm","tra_timeseries.exo_road_htruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
30,"DE",2024,"helper_sink_exo_road_lcar_pkm","tra_scalars.exo_road_lcar_pkm","tra_timeseries.exo_road_lcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
31,"DE",2024,"helper_sink_exo_road_motorc_pkm","tra_scalars.exo_road_motorc_pkm","tra_timeseries.exo_road_motorc_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
32,"DE",2024,"helper_sink_exo_road_mcar_pkm","tra_scalars.exo_road_mcar_pkm","tra_timeseries.exo_road_mcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
33,"DE",2024,"helper_sink_exo_road_mtruck_tkm","tra_scalars.exo_road_mtruck_tkm","tra_timeseries.exo_road_mtruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
34,"DE",2024,"helper_sink_exo_road_truck_tkm","tra_scalars.exo_road_truck_tkm","tra_timeseries.exo_road_truck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
35,"DE",2024,"helper_sink_exo_water_tkm","tra_scalars.exo_water_tkm","tra_timeseries.exo_water_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
36,"DE",2024,"helper_sink_exo_road_ltruck_tkm","tra_scalars.exo_road_ltruck_tkm","tra_timeseries.exo_road_ltruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
37,"DE",2024,"helper_sink_exo_road_bus_short_pkm","tra_scalars.exo_road_bus_short_pkm","tra_timeseries.exo_road_bus_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
38,"DE",2024,"helper_sink_exo_rail_long_tkm","tra_scalars.exo_rail_long_tkm","tra_timeseries.exo_rail_long_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
39,"DE",2024,"helper_sink_exo_road_bus_long_pkm","tra_scalars.exo_road_bus_long_pkm","tra_timeseries.exo_road_bus_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
40,"DE",2024,"helper_sink_exo_road_bus_pkm","tra_scalars.exo_road_bus_pkm","tra_timeseries.exo_road_bus_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
41,"DE",2024,"helper_sink_exo_air_inter_pkm","tra_scalars.exo_air_inter_pkm","tra_timeseries.exo_air_inter_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
42,"DE",2024,"helper_sink_exo_air_natio_pkm","tra_scalars.exo_air_natio_pkm","tra_timeseries.exo_air_natio_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
43,"DE",2024,"helper_sink_exo_air_pkm","tra_scalars.exo_air_pkm","tra_timeseries.exo_air_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
44,"DE",2024,"helper_sink_exo_rail_long_pkm","tra_scalars.exo_rail_long_pkm","tra_timeseries.exo_rail_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
45,"DE",2024,"helper_sink_exo_air_europ_pkm","tra_scalars.exo_air_europ_pkm","tra_timeseries.exo_air_europ_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
46,"DE",2024,"helper_sink_exo_rail_pkm","tra_scalars.exo_rail_pkm","tra_timeseries.exo_rail_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
47,"DE",2024,"helper_sink_exo_rail_short_pkm","tra_scalars.exo_rail_short_pkm","tra_timeseries.exo_rail_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
48,"DE",2024,"helper_sink_exo_rail_short_tkm","tra_scalars.exo_rail_short_tkm","tra_timeseries.exo_rail_short_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
49,"DE",2024,"helper_sink_exo_rail_tkm","tra_scalars.exo_rail_tkm","tra_timeseries.exo_rail_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
50,"DE",2024,"helper_sink_exo_road_agri_diesel","tra_scalars.exo_road_agri_diesel","tra_timeseries.exo_road_agri_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
51,"DE",2027,"helper_sink_exo_road_const_diesel","tra_scalars.exo_road_const_diesel","tra_timeseries.exo_road_const_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
52,"DE",2027,"helper_sink_exo_road_hcar_pkm","tra_scalars.exo_road_hcar_pkm","tra_timeseries.exo_road_hcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
53,"DE",2027,"helper_sink_exo_road_htruck_tkm","tra_scalars.exo_road_htruck_tkm","tra_timeseries.exo_road_htruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
54,"DE",2027,"helper_sink_exo_road_lcar_pkm","tra_scalars.exo_road_lcar_pkm","tra_timeseries.exo_road_lcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
55,"DE",2027,"helper_sink_exo_road_ltruck_tkm","tra_scalars.exo_road_ltruck_tkm","tra_timeseries.exo_road_ltruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
56,"DE",2027,"helper_sink_exo_road_motorc_pkm","tra_scalars.exo_road_motorc_pkm","tra_timeseries.exo_road_motorc_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
57,"DE",2027,"helper_sink_exo_road_car_pkm","tra_scalars.exo_road_car_pkm","tra_timeseries.exo_road_car_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
58,"DE",2027,"helper_sink_exo_road_mtruck_tkm","tra_scalars.exo_road_mtruck_tkm","tra_timeseries.exo_road_mtruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
59,"DE",2027,"helper_sink_exo_road_truck_tkm","tra_scalars.exo_road_truck_tkm","tra_timeseries.exo_road_truck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
60,"DE",2027,"helper_sink_exo_water_tkm","tra_scalars.exo_water_tkm","tra_timeseries.exo_water_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
61,"DE",2027,"helper_sink_exo_road_mcar_pkm","tra_scalars.exo_road_mcar_pkm","tra_timeseries.exo_road_mcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
62,"DE",2027,"helper_sink_exo_road_bus_short_pkm","tra_scalars.exo_road_bus_short_pkm","tra_timeseries.exo_road_bus_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
63,"DE",2027,"helper_sink_exo_rail_long_tkm","tra_scalars.exo_rail_long_tkm","tra_timeseries.exo_rail_long_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
64,"DE",2027,"helper_sink_exo_road_bus_long_pkm","tra_scalars.exo_road_bus_long_pkm","tra_timeseries.exo_road_bus_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
65,"DE",2027,"helper_sink_exo_air_inter_pkm","tra_scalars.exo_air_inter_pkm","tra_timeseries.exo_air_inter_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
66,"DE",2027,"helper_sink_exo_air_natio_pkm","tra_scalars.exo_air_natio_pkm","tra_timeseries.exo_air_natio_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
67,"DE",2027,"helper_sink_exo_air_pkm","tra_scalars.exo_air_pkm","tra_timeseries.exo_air_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
68,"DE",2027,"helper_sink_exo_rail_long_pkm","tra_scalars.exo_rail_long_pkm","tra_timeseries.exo_rail_long_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
69,"DE",2027,"helper_sink_exo_air_europ_pkm","tra_scalars.exo_air_europ_pkm","tra_timeseries.exo_air_europ_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
70,"DE",2027,"helper_sink_exo_road_bus_pkm","tra_scalars.exo_road_bus_pkm","tra_timeseries.exo_road_bus_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
71,"DE",2027,"helper_sink_exo_rail_short_pkm","tra_scalars.exo_rail_short_pkm","tra_timeseries.exo_rail_short_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
72,"DE",2027,"helper_sink_exo_rail_short_tkm","tra_scalars.exo_rail_short_tkm","tra_timeseries.exo_rail_short_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
73,"DE",2027,"helper_sink_exo_rail_tkm","tra_scalars.exo_rail_tkm","tra_timeseries.exo_rail_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
74,"DE",2027,"helper_sink_exo_road_agri_diesel","tra_scalars.exo_road_agri_diesel","tra_timeseries.exo_road_agri_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
75,"DE",2027,"helper_sink_exo_rail_pkm","tra_scalars.exo_rail_pkm","tra_timeseries.exo_rail_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
76,"DE",2030,"helper_sink_exo_road_car_pkm","tra_scalars.exo_road_car_pkm","tra_timeseries.exo_road_car_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
77,"DE",2030,"helper_sink_exo_road_const_diesel","tra_scalars.exo_road_const_diesel","tra_timeseries.exo_road_const_diesel","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
78,"DE",2030,"helper_sink_exo_road_hcar_pkm","tra_scalars.exo_road_hcar_pkm","tra_timeseries.exo_road_hcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
79,"DE",2030,"helper_sink_exo_road_htruck_tkm","tra_scalars.exo_road_htruck_tkm","tra_timeseries.exo_road_htruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
80,"DE",2030,"helper_sink_exo_road_lcar_pkm","tra_scalars.exo_road_lcar_pkm","tra_timeseries.exo_road_lcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
81,"DE",2030,"helper_sink_exo_water_tkm","tra_scalars.exo_water_tkm","tra_timeseries.exo_water_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
82,"DE",2030,"helper_sink_exo_road_mcar_pkm","tra_scalars.exo_road_mcar_pkm","tra_timeseries.exo_road_mcar_pkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
83,"DE",2030,"helper_sink_exo_road_mtruck_tkm","tra_scalars.exo_road_mtruck_tkm","tra_timeseries.exo_road_mtruck_tkm","{}","srd_point_sedos","{""demand_timeseries"": ""Normalized to sum 1.""}","{}","{}"
